id_aluno,nome,curso,periodo,disciplinas_cursadas,areas_interesse
160,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
161,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
162,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
163,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
164,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
165,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
166,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
167,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
168,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
169,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
170,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
171,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
172,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
173,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
174,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
175,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
176,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
177,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
178,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
179,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
180,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
181,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
182,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
183,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
184,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
185,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
186,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
187,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
188,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
189,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
190,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
191,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
192,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
193,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
194,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
195,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
196,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
197,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
198,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
199,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
200,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
201,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
202,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
203,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
204,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
205,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
206,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
207,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
208,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
209,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
210,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
211,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
212,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
213,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
214,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
215,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
216,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
217,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
218,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
219,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
220,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
221,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
222,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
223,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
224,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
225,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
226,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
227,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
228,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
229,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
230,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
231,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
232,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
233,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
234,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
235,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
236,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
237,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
238,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
239,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
240,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
241,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
242,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
243,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
244,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
245,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
246,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
247,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
248,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
249,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
250,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
251,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
252,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
253,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
254,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
255,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
256,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
257,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
258,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
259,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
260,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
261,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
262,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
263,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
264,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
265,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
266,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
267,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
268,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
269,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
270,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
271,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
272,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
273,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
274,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
275,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
276,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
277,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
278,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
279,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
280,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
281,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
282,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
283,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
284,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
285,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
286,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
287,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
288,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
289,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
290,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
291,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
292,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
293,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
294,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
295,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
296,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
297,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
298,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
299,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
300,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
301,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
302,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
303,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
304,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
305,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
306,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
